source,medium,sessions,total_revenue_usd,revenue_per_1000_sessions
(direct),(none),371467,1190175.11,3203.99
google,organic,227668,202495.97,889.44
dfa,cpm,5686,76928.42,13529.44
google,cpc,13078,25176.76,1925.12
mail.google.com,referral,1457,23327.91,16010.92
dealspotr.com,referral,528,5690.64,10777.73
sites.google.com,referral,2983,4390.78,1471.93
groups.google.com,referral,1025,1631.26,1591.47
yahoo,organic,1478,1374.96,930.28
google,cpm,496,1339.77,2701.15
facebook.com,referral,2296,1137.67,495.5
l.facebook.com,referral,795,1043.72,1312.86
bing,organic,1529,987.72,645.99
Partners,affiliate,16403,597.38,36.42
connect.googleforwork.com,referral,97,404.81,4173.3